//IndexBuff	Arg1	Arg2	Arg3	NameBuff	Arg4	Arg5	Arg6	InfoBuff
158	93	255	255	"Frost"	1	1	1	"HP decreases every second from frost damage."
159	94	255	255	"Poison"	1	1	1	"HP decreases every second from poison damage."
160	94	255	255	"Poison"	1	1	1	"HP decreases every second from poison damage."
161	87	255	255	"Berserk"	0	1	1	"Strength Increase: %d/Agility Increase: %d/Vitality Increase: %d/Energy Increase: %d"
162	43	255	255	"Weaken"	1	1	1	"Attack Speed Reduction: %d%%"
163	44	255	255	"Innovation"	1	1	1	"Defense Success Rate Reduction: %d%%"
164	30	255	255	"Defense Reduction"	1	1	1	"Defense Reduced."
165	84	255	255	"Iron Defense"	0	1	1	"Greatly increases Defense and HP."
166	95	255	255	"Blood Howl"	1	1	1	"HP decreases every second."
167	95	255	255	"Blood Howl"	1	1	1	"HP decreases every second."
169	96	255	255	"Frenzy"	1	1	1	"Defense and Defense Success Rate Reduction: %d%%"
205	205	255	255	"Weapon Buff"	1	1	1	"Damage: +%d/Double Damage Rate: +%d%%/Triple Damage Rate: +%d%%"
206	206	255	255	"Armor Buff"	1	1	1	"HP|SD Increase: +%d/Defense: +%d/Critical Damage Resistance: %d%%/Excellent Damage Resistance: %d%%"
207	207	255	255	"Accessory Buff"	1	1	1	"Damage: +%d/Defense: +%d/HP|SD Increase: +%d"
208	208	255	255	"Wing Buff"	1	1	1	"Damage: +%d/HP|SD Increase: +%d/Excellent Damage Increase: +%d%%/Critical Damage Increase: %d%%"
209	209	255	255	"Shield Buff"	1	1	1	"HP|SD Increase: +%d/Ignore Defense Resistance: %d%%/Damage Reflection: %d%%/Stun Resistance: %d%%"
220	220	255	255	"Guild Buff"	1	1	1	"HP Increase: +%d%%/SD Increase: +%d%%/Defense Success Rate Increase: +%d%%/Damage Reduction: +%d%%"
end
