139
76	-nan(ind)	-nan(ind)	-nan(ind)	0.0	0.0	40.0	-nan(ind)
6	23857.0586	24808.779	18.00000	0.0	0.0	180.0	2.0000000
60	23925.9863	24985.129	25.00000	0.0	0.0	0.0	1.0000000
101	23838.9199	24775.969	24.00000	0.0	0.0	25.0	0.7000000
80	23985.0000	24748.000	24.00000	0.0	0.0	65.0	0.3500000
115	23947.6387	24852.898	32.03293	0.0	0.0	45.0	1.5999999
85	23660.4492	25106.369	88.00000	0.0	0.0	-60.0	1.0000000
85	23438.1738	25150.000	241.99998	0.0	0.0	-45.0	1.0000000
85	23611.0996	25168.732	241.99998	0.0	0.0	-45.0	1.0000000
9	23580.0879	25143.404	315.00000	0.0	0.0	15.0	2.0000000
85	23499.1289	25069.135	88.00000	0.0	0.0	-60.0	1.0000000
9	23370.3984	25085.080	315.00000	0.0	0.0	15.0	2.0000000
85	23110.9199	25230.068	290.00000	0.0	0.0	-45.0	1.0000000
85	23009.9492	25160.180	221.70000	0.0	0.0	-45.0	1.0000000
85	23192.7344	25122.680	261.01001	0.0	0.0	-45.0	1.0000000
85	22897.5996	25078.721	88.00000	0.0	0.0	-80.0	1.0000000
85	23053.3867	25054.760	88.00000	0.0	0.0	-80.0	1.0000000
9	23040.1406	25103.699	315.00000	0.0	0.0	-10.0	2.0000000
9	23219.4199	25073.039	315.00000	0.0	0.0	-10.0	2.0000000
115	23635.9688	24781.689	25.25975	0.0	0.0	45.0	1.5000000
77	23353.1074	24603.867	24.00000	0.0	0.0	45.0	0.4000000
80	23498.6562	24627.029	24.00000	0.0	0.0	135.0	0.4000000
120	23641.8281	24671.520	24.00000	0.0	0.0	-255.0	0.6000000
57	23526.3691	24952.170	323.00000	0.0	0.0	45.0	3.0000000
77	23443.5586	24659.549	24.00000	0.0	0.0	45.0	0.3000000
6	23410.0000	24593.998	18.00000	0.0	0.0	220.0	2.0000000
6	23689.7695	24782.990	18.00000	0.0	0.0	195.0	2.0000000
6	23555.5000	24707.609	18.00000	0.0	0.0	220.0	2.0000000
60	23359.9082	24871.857	25.00000	0.0	0.0	0.0	1.0000000
76	23495.4492	24758.646	24.00000	0.0	0.0	205.0	0.2000000
77	23111.4902	24613.389	24.00000	0.0	0.0	-45.0	0.4000000
77	23032.8828	24667.209	24.00000	0.0	0.0	45.0	0.3000000
80	22959.8809	24607.398	24.00000	0.0	0.0	45.0	0.4000000
57	23273.2559	24901.730	323.00000	0.0	0.0	45.0	2.0000000
76	22942.8809	24718.998	14.09161	0.0	0.0	160.0	0.2000000
85	23226.3359	25017.477	88.00000	0.0	0.0	-80.0	1.0000000
85	23309.7559	25008.748	88.00000	0.0	0.0	-50.0	1.0000000
6	22894.9805	24657.697	18.00000	0.0	0.0	160.0	2.0000000
57	25268.9980	24507.000	323.00000	0.0	0.0	45.0	3.0000000
85	25175.4531	24568.910	88.00000	0.0	0.0	-110.0	1.0000000
85	25206.0859	24586.109	88.00000	0.0	0.0	-65.0	1.0000000
60	25187.9980	24317.609	25.00000	0.0	0.0	0.0	1.0000000
77	24816.6465	24168.369	24.00000	-15.0	0.0	-395.0	0.2500000
29	24624.0000	24387.998	36.20466	0.0	0.0	-135.0	0.4000000
6	24694.8691	24312.410	18.00000	0.0	0.0	115.0	2.0000000
6	24599.0469	24445.867	18.00000	0.0	0.0	855.0	2.0000000
105	24748.0195	24256.529	32.95000	10.0	0.0	0.0	2.0999999
76	24669.8770	24525.986	24.00000	0.0	0.0	45.0	0.1000000
76	24790.7090	24342.049	24.00000	0.0	0.0	0.0	0.1000000
60	25227.6270	23982.529	21.87291	0.0	0.0	0.0	1.0000000
131	24608.0000	24065.000	26.00000	0.0	0.0	-450.0	1.7000000
105	24650.0000	24147.000	24.00000	10.0	0.0	-90.0	1.4000000
77	24836.8535	23903.352	24.00000	-10.0	0.0	-45.0	0.4500000
77	24762.9492	23791.359	24.00000	-20.0	0.0	-270.0	0.3500000
80	24611.0586	23916.557	24.00000	0.0	0.0	-45.0	0.4000000
6	24798.9297	23816.486	18.00000	0.0	0.0	90.0	2.0000000
6	24785.9277	23993.000	18.00000	0.0	0.0	97.0	2.0000000
6	24751.1270	24157.230	18.00000	0.0	0.0	105.0	2.0000000
120	24676.4805	24057.920	24.00000	0.0	0.0	-360.0	0.6000000
105	24807.0000	24086.000	25.78464	10.0	0.0	-45.0	1.8000000
74	24681.8086	23823.000	211.99998	0.0	0.0	-470.0	0.2000000
131	24620.1484	23784.600	24.89000	0.0	0.0	-450.0	2.0000000
77	24842.0156	23696.289	24.00000	-10.0	0.0	-90.0	0.5500000
77	24801.3633	23515.998	24.00000	-10.0	0.0	-135.0	0.4500000
77	24747.0977	23607.000	24.00000	-15.0	0.0	-260.0	0.2500000
80	24646.9590	23687.211	24.00000	0.0	0.0	50.0	0.3000000
115	24703.6895	23368.188	24.00000	0.0	0.0	45.0	1.5000000
76	24814.1387	23339.840	24.00000	0.0	0.0	90.0	0.1500000
6	24769.1582	23453.240	18.00000	0.0	0.0	80.0	2.0000000
6	24791.2500	23636.066	18.00000	0.0	0.0	85.0	2.0000000
80	24683.5000	23512.199	24.00000	0.0	0.0	5.0	0.3000000
77	24633.0000	23049.000	24.00000	-10.0	0.0	-120.0	0.2000000
76	24769.9609	23236.150	24.00000	0.0	0.0	45.0	0.2500000
120	24613.2988	23273.811	24.00000	0.0	0.0	-405.0	0.6000000
6	24636.7402	23168.410	18.00000	0.0	0.0	60.0	2.0000000
6	24719.4902	23305.119	18.00000	0.0	0.0	60.0	2.0000000
122	24640.2109	23154.559	24.00000	0.0	0.0	45.0	2.0999999
105	24584.0000	24518.998	31.52554	10.0	0.0	-90.0	2.0999999
105	24476.0000	24568.000	24.00000	10.0	0.0	-45.0	1.6000000
80	24536.9297	24204.549	24.00000	0.0	0.0	25.0	0.2000000
6	24468.2500	24573.979	18.00000	0.0	0.0	855.0	2.0000000
105	24460.0000	24453.000	24.00000	10.0	0.0	-45.0	1.4000000
80	24450.1777	24346.117	24.00000	0.0	0.0	-20.0	0.3000000
80	23413.4727	24483.789	24.00000	0.0	0.0	225.0	0.4000000
77	23222.1719	24568.391	24.00000	0.0	0.0	-0.0	0.5000000
120	23215.8594	24388.127	24.00000	0.0	0.0	-270.0	0.6000000
77	23144.9102	24503.037	24.00000	10.0	0.0	0.0	0.2500000
80	23311.2832	24419.311	24.00000	0.0	0.0	180.0	0.5000000
6	23038.6406	24587.008	18.00000	0.0	0.0	150.0	2.0000000
6	23223.5996	24526.998	18.00000	0.0	0.0	180.0	2.0000000
76	23223.5039	24476.447	24.00000	0.0	0.0	70.0	0.1500000
80	23212.9980	24318.000	24.00000	0.0	0.0	180.0	0.4000000
127	23451.0000	23818.449	63.46070	180.0	0.0	-900.0	1.0000000
80	23381.0000	23854.998	40.00000	0.0	0.0	270.0	0.5000000
77	24542.3691	22939.969	24.00000	-10.0	0.0	-120.0	0.3500000
80	24438.2988	22937.656	24.00000	0.0	0.0	0.0	0.4000000
124	24547.0000	23050.000	24.00000	0.0	0.0	-405.0	0.6000000
120	24288.1875	22948.230	24.00000	0.0	0.0	-450.0	0.6000000
6	24434.2695	22910.830	18.00000	0.0	0.0	45.0	2.0000000
6	24538.4863	23018.998	18.00000	0.0	0.0	55.0	2.0000000
128	24298.3789	23071.299	24.00000	0.0	0.0	-90.0	1.0000000
104	24543.0195	23142.818	26.40000	0.0	0.0	0.0	0.2000000
120	24443.0000	23081.000	25.48469	0.0	0.0	-350.0	0.4000000
126	23435.2363	23386.729	96.70131	0.0	0.0	45.0	3.0000000
126	23715.0000	23346.541	68.00000	5.0	0.0	100.0	2.0000000
122	23442.7070	23693.660	81.88326	0.0	0.0	45.0	2.2000000
128	23536.0000	23650.775	58.87397	25.0	0.0	90.0	0.8000000
127	23034.8594	23340.328	86.44485	180.0	0.0	-765.0	1.0000000
127	23162.7988	23480.207	77.16000	0.0	180.0	-315.0	1.0000000
120	22946.9688	23372.967	48.67618	0.0	0.0	125.0	0.6000000
128	23199.4805	23329.629	71.07000	0.0	0.0	0.0	0.8000000
126	23543.5938	22968.906	33.00000	-15.0	0.0	10.0	2.0000000
120	23643.0000	22926.998	64.11079	0.0	15.0	170.0	0.5000000
128	23325.6094	23227.170	43.07999	25.0	0.0	315.0	0.8000000
128	23528.2188	23073.266	94.38132	0.0	0.0	-90.0	0.8000000
120	23413.7383	23002.197	53.38442	0.0	0.0	170.0	0.6000000
80	23650.0000	23139.000	62.87331	-15.0	0.0	270.0	0.3000000
85	22697.1152	25254.096	240.42252	0.0	0.0	-90.0	1.0000000
85	22872.4492	25259.887	231.47350	0.0	0.0	-90.0	1.0000000
85	22773.5664	25103.260	88.00000	0.0	0.0	-80.0	1.0000000
85	22637.4805	25091.918	88.00000	0.0	0.0	-80.0	1.0000000
9	22603.0996	25135.682	315.00000	0.0	0.0	15.0	2.0000000
9	22824.2285	25143.027	315.00000	0.0	0.0	-10.0	2.0000000
85	22429.9980	25267.000	290.00000	0.0	0.0	-45.0	1.0000000
85	22069.4004	25056.289	308.90997	0.0	0.0	-45.0	1.0000000
85	22071.9492	25187.748	324.00000	0.0	0.0	-45.0	1.0000000
85	22107.4609	25275.699	235.48999	0.0	0.0	-45.0	1.0000000
85	22420.0000	25085.660	250.00000	0.0	0.0	-45.0	1.0000000
85	22436.7988	25032.730	88.00000	0.0	0.0	-35.0	1.0000000
9	22394.1699	25060.609	315.00000	0.0	0.0	25.0	2.0000000
115	22805.3672	24619.660	26.00000	0.0	0.0	45.0	1.5999999
60	22784.0781	25008.330	25.00000	0.0	0.0	0.0	1.0000000
6	22470.9707	24604.959	18.00000	0.0	0.0	-145.0	2.0000000
6	22588.0898	24663.551	18.00000	0.0	0.0	-165.0	2.0000000
6	22734.9551	24681.777	18.00000	0.0	0.0	-180.0	2.0000000
123	22680.1855	24675.562	24.00000	0.0	0.0	-180.0	0.4000000
123	22549.0000	24686.439	24.00000	0.0	0.0	-135.0	0.5000000
85	22192.2676	24938.250	250.00000	0.0	0.0	-45.0	1.0000000
85	22147.0000	24840.998	88.00000	0.0	0.0	-35.0	1.0000000
85	22275.7988	24940.090	88.00000	0.0	0.0	-35.0	1.0000000
9	22051.2871	24837.779	315.00000	0.0	0.0	30.0	2.0000000
9	22208.6484	24949.939	315.00000	0.0	0.0	40.0	2.0000000
28	22178.1797	24921.170	317.99997	0.0	0.0	80.0	0.5000000
60	22063.4863	24648.637	25.00000	0.0	0.0	0.0	1.0000000
85	21805.6602	25068.879	324.00000	0.0	0.0	-45.0	1.0000000
85	21262.5000	25093.168	250.00000	0.0	0.0	-45.0	1.0000000
85	21380.1191	25165.309	318.13998	0.0	0.0	-45.0	1.0000000
85	21607.0000	25125.000	324.00000	0.0	0.0	-45.0	1.0000000
9	21198.4297	25023.789	315.00000	0.0	0.0	-20.0	2.0000000
57	21927.6016	24599.473	323.00000	0.0	0.0	45.0	3.0000000
85	21793.4609	24842.471	250.00000	0.0	0.0	-45.0	1.0000000
85	21999.2695	24846.697	250.00000	0.0	0.0	-45.0	1.0000000
85	21614.2637	24745.770	88.00000	0.0	0.0	-70.0	1.0000000
85	21766.6172	24715.510	88.00000	0.0	0.0	-70.0	1.0000000
85	21929.4102	24725.867	88.00000	0.0	0.0	-70.0	1.0000000
85	21989.1504	24750.740	88.00000	0.0	0.0	-35.0	1.0000000
9	21735.7383	24773.830	315.00000	0.0	0.0	-10.0	2.0000000
9	21896.9492	24775.100	315.00000	0.0	0.0	10.0	2.0000000
57	21242.6758	24793.289	349.00000	0.0	0.0	45.0	2.0000000
60	21562.9980	24596.938	25.00000	0.0	0.0	0.0	1.0000000
85	21459.0000	25016.699	250.00000	0.0	0.0	-45.0	1.0000000
85	21599.3965	24925.408	250.00000	0.0	0.0	-45.0	1.0000000
85	21325.6387	24923.330	88.00000	0.0	0.0	-70.0	1.0000000
85	21476.6387	24837.070	88.00000	0.0	0.0	-70.0	1.0000000
9	21402.6992	24926.549	315.00000	0.0	0.0	-30.0	2.0000000
9	21586.0996	24820.469	315.00000	0.0	0.0	-30.0	2.0000000
85	21044.8984	25146.830	250.00000	0.0	0.0	-45.0	1.0000000
85	20792.1426	25181.107	250.00000	0.0	0.0	-45.0	1.0000000
85	21018.1777	25040.000	88.00000	0.0	0.0	-70.0	1.0000000
85	20854.9980	25058.000	88.00000	0.0	0.0	-70.0	1.0000000
9	20762.0000	25109.000	315.00000	0.0	0.0	-5.0	2.0000000
9	20981.6992	25081.428	315.00000	0.0	0.0	-10.0	2.0000000
85	20346.6895	25238.020	250.00000	0.0	0.0	-45.0	1.0000000
85	20569.0488	25181.721	250.00000	0.0	0.0	-45.0	1.0000000
85	20409.2246	25033.029	88.00000	0.0	0.0	-25.0	1.0000000
85	20663.8281	25073.322	88.00000	0.0	0.0	-70.0	1.0000000
9	20538.4375	25101.635	315.00000	0.0	0.0	10.0	2.0000000
76	21019.0000	24607.990	24.00000	0.0	0.0	150.0	0.2000000
71	20869.9180	24649.879	32.90000	0.0	0.0	0.0	0.7000000
57	21014.0000	24879.998	323.00000	0.0	0.0	45.0	3.0000000
60	21174.1504	24853.260	23.62000	0.0	0.0	0.0	1.0000000
85	21176.3848	24984.277	88.00000	0.0	0.0	-70.0	1.0000000
76	20732.7695	24651.600	22.79980	0.0	0.0	0.0	0.2000000
60	20592.0508	24921.369	25.00000	0.0	0.0	0.0	1.0000000
85	20117.1289	25084.357	250.00000	0.0	0.0	-45.0	1.0000000
85	20290.1406	25114.359	250.00000	0.0	0.0	-45.0	1.0000000
85	19923.7988	25268.480	250.00000	0.0	0.0	-45.0	1.0000000
9	20321.9336	25046.391	315.00000	0.0	0.0	20.0	2.0000000
85	19764.2988	25034.148	250.00000	0.0	0.0	-45.0	1.0000000
85	19525.5098	25157.869	250.00000	0.0	0.0	-45.0	1.0000000
85	19829.0098	25188.160	250.00000	0.0	0.0	-45.0	1.0000000
57	20058.2910	24689.830	349.00000	0.0	0.0	45.0	3.0000000
85	19983.9102	24952.859	250.00000	0.0	0.0	-45.0	1.0000000
85	19963.4805	24781.229	88.00000	0.0	0.0	-40.0	1.0000000
85	20076.0898	24862.930	88.00000	0.0	0.0	-25.0	1.0000000
85	20237.3262	24967.117	88.00000	0.0	0.0	-25.0	1.0000000
9	20120.7168	24952.924	315.00000	0.0	0.0	30.0	2.0000000
9	19946.5000	24830.131	315.00000	0.0	0.0	40.0	2.0000000
28	20125.4707	24933.750	317.99997	0.0	0.0	80.0	0.5000000
60	20066.7188	24677.920	25.00000	0.0	0.0	0.0	1.0000000
85	19660.9199	24702.289	250.00000	0.0	0.0	-45.0	1.0000000
85	19721.3965	24882.070	250.00000	0.0	0.0	-45.0	1.0000000
85	19703.5605	24608.994	88.00000	0.0	0.0	-45.0	1.0000000
28	19601.0000	24628.000	317.99997	0.0	0.0	80.0	0.5000000
85	19802.4199	24670.078	88.00000	0.0	0.0	-25.0	1.0000000
9	19626.5586	24635.842	315.00003	0.0	0.0	20.0	2.0000000
9	19802.8770	24725.156	315.00000	0.0	0.0	30.0	2.0000000
28	19800.3301	24700.840	317.99997	0.0	0.0	80.0	0.5000000
123	22499.2090	24570.449	24.00000	0.0	0.0	-180.0	0.3000000
80	22473.0000	24426.998	24.00000	0.0	0.0	135.0	0.4000000
120	22830.1895	24517.949	24.00000	0.0	0.0	-315.0	0.6000000
130	22139.3281	24187.949	24.00000	0.0	0.0	0.0	1.1000000
123	22356.0000	24537.000	24.00000	0.0	0.0	-135.0	0.6000000
77	22227.3672	24327.260	24.00000	0.0	0.0	135.0	0.6000000
6	22345.1191	24499.609	18.00000	0.0	0.0	-135.0	2.0000000
6	22241.0684	24368.779	18.00000	0.0	0.0	-125.0	2.0000000
6	22116.5801	24226.127	18.00000	0.0	0.0	-135.0	2.0000000
76	22225.3809	24448.811	24.00000	0.0	0.0	205.0	0.2000000
122	22351.5586	24445.707	24.00000	0.0	0.0	45.0	2.2000000
115	22342.7969	24345.320	24.00000	0.0	0.0	45.0	1.2000000
128	22150.8301	24261.561	25.00000	0.0	0.0	-90.0	0.9000000
77	22039.6797	24148.629	24.00000	-10.0	0.0	45.0	0.8000000
80	22168.7188	24084.449	24.00000	0.0	0.0	135.0	0.4000000
77	21750.1191	24173.609	24.00000	0.0	0.0	-0.0	0.6000000
77	21624.6270	24240.062	24.00000	0.0	0.0	-0.0	0.4000000
76	21367.5293	24451.078	1.92350	0.0	0.0	160.0	0.2000000
6	21308.2969	24375.986	18.00000	0.0	0.0	-190.0	2.0000000
80	21192.4590	24386.670	24.00000	0.0	0.0	45.0	0.4000000
80	21552.7305	24187.008	24.00000	0.0	0.0	45.0	0.3000000
6	21557.8398	24219.961	18.00000	0.0	0.0	-210.0	2.0000000
6	21406.2500	24337.420	18.00000	0.0	0.0	-220.0	2.0000000
105	21483.0000	24375.000	38.00000	0.0	0.0	0.0	2.0999999
105	21257.9395	24476.154	39.08305	0.0	0.0	0.0	1.2000000
71	21335.0000	24285.000	15.99397	0.0	0.0	0.0	0.7000000
77	22017.9688	24043.660	24.00000	-15.0	0.0	-180.0	0.4000000
80	21659.1602	24117.670	24.00000	0.0	0.0	90.0	0.4000000
6	21915.4297	24141.229	18.00000	0.0	0.0	-180.0	2.0000000
6	21733.3184	24155.131	18.00000	0.0	0.0	-190.0	2.0000000
76	21808.4785	24064.680	24.00000	0.0	0.0	205.0	0.2000000
80	21733.7363	23988.859	24.00000	0.0	0.0	45.0	0.4000000
120	21909.8594	23961.609	24.00000	0.0	0.0	-195.0	0.6000000
120	21422.6035	24142.227	24.00000	0.0	0.0	-360.0	0.6000000
120	22579.6484	23051.639	19.31000	0.0	0.0	45.0	0.6000000
128	22705.0527	22900.066	24.00000	0.0	0.0	0.0	0.8000000
80	22425.0000	23160.000	24.00000	-15.0	0.0	270.0	0.3000000
0	22395.4004	22925.156	0.00000	0.0	0.0	0.0	1.0000000
120	22237.8105	23118.369	24.00000	0.0	0.0	90.0	0.6000000
127	21196.5723	23464.604	5.53291	0.0	0.0	-90.0	1.7999998
128	22029.9492	23004.160	19.80000	0.0	0.0	0.0	0.8000000
86	21137.1797	24510.709	24.00000	0.0	0.0	-50.0	1.2000000
71	20947.0000	24518.000	16.34045	0.0	0.0	0.0	0.7000000
6	21132.1875	24448.779	18.00000	0.0	0.0	-210.0	2.0000000
6	20829.0273	24566.713	18.00000	0.0	0.0	-190.0	2.0000000
6	20990.7285	24521.920	18.00000	0.0	0.0	-200.0	2.0000000
49	20814.7891	24505.039	32.19812	0.0	0.0	0.0	0.7100000
49	20935.7383	24392.250	32.89000	0.0	0.0	-45.0	0.6100000
77	20348.3691	24441.451	24.00000	-10.0	0.0	45.0	0.6666667
77	20489.9707	24525.732	24.00000	0.0	0.0	60.0	0.5000000
77	20592.2617	24588.010	24.00000	10.0	0.0	90.0	0.3333333
120	20675.9863	24527.207	24.00000	0.0	0.0	-360.0	0.6000000
104	20346.6797	24291.570	30.15000	0.0	0.0	0.0	0.4000000
49	20749.9199	24350.000	29.48499	0.0	0.0	0.0	0.5100000
6	20681.2500	24568.998	18.00000	0.0	0.0	-170.0	2.0000000
6	20525.2695	24516.420	18.00000	0.0	0.0	-155.0	2.0000000
6	20371.0391	24441.189	18.00000	0.0	0.0	-150.0	2.0000000
120	20460.5293	24374.348	24.00000	0.0	0.0	-270.0	0.6000000
46	20582.4297	24420.490	24.00000	0.0	0.0	0.0	0.8000000
76	20608.8594	24496.939	24.00000	0.0	0.0	115.0	0.1000000
84	19974.2402	24239.240	24.00000	0.0	0.0	0.0	1.1000000
77	20247.0781	24386.527	24.00000	0.0	-15.0	35.0	0.5000000
57	19906.7598	24582.865	323.00000	0.0	0.0	45.0	2.0000000
6	20231.8496	24342.107	18.00000	0.0	0.0	-140.0	2.0000000
6	20101.1992	24222.387	18.00000	0.0	0.0	-135.0	2.0000000
80	20238.8496	24239.170	24.00000	0.0	0.0	0.0	0.4000000
122	20142.4980	24275.580	24.00000	0.0	0.0	45.0	2.0000000
85	19546.4883	24554.377	88.00000	0.0	0.0	-45.0	1.0000000
60	19682.7598	24418.439	25.00000	0.0	0.0	0.0	1.0000000
120	19922.9805	23936.248	24.00000	0.0	0.0	-225.0	0.6000000
80	20053.7285	24141.090	24.00000	0.0	0.0	-225.0	0.4000000
6	19960.2402	24083.291	18.00000	0.0	0.0	-135.0	2.0000000
128	20043.2305	23976.420	23.99000	0.0	0.0	-45.0	0.8000000
101	20154.0000	24051.998	24.00000	0.0	0.0	0.0	0.6000000
101	19949.6602	23839.590	24.50156	0.0	0.0	0.0	0.5000000
84	19779.9395	24033.639	42.46000	0.0	0.0	0.0	1.3000000
84	19643.0000	23779.000	24.00000	0.0	0.0	10.0	1.1000000
6	19849.2773	23955.400	18.00000	0.0	0.0	-125.0	2.0000000
6	19768.6797	23800.789	18.00000	0.0	0.0	-112.0	2.0000000
127	20822.6426	23491.473	23.61677	0.0	0.0	-315.0	1.9999999
120	21051.8301	23629.590	24.00000	0.0	0.0	-10.0	0.6000000
80	20994.6465	23462.008	24.00000	-15.0	0.0	405.0	0.3000000
131	20901.0391	23462.459	24.00000	0.0	0.0	-360.0	2.0000000
128	20589.7695	23370.539	24.00000	0.0	0.0	135.0	0.8000000
127	20505.7793	23314.350	23.61677	0.0	0.0	-270.0	1.9999999
80	20690.6289	23342.689	24.00000	-15.0	0.0	180.0	0.4000000
128	21066.7305	23309.797	24.00000	0.0	0.0	45.0	0.8000000
127	20937.2246	23271.475	23.61677	0.0	0.0	-135.0	1.9999999
131	20804.4883	23126.639	24.00000	0.0	0.0	-405.0	2.0000000
131	21083.1289	23221.289	24.00000	0.0	0.0	-315.0	2.0000000
131	20922.5684	23138.869	24.00000	0.0	0.0	-360.0	1.6000000
127	20548.8242	22981.951	23.61677	0.0	0.0	-225.0	1.7999998
120	20713.8281	22929.697	24.00000	0.0	0.0	170.0	0.6000000
131	20496.4102	23195.680	24.00000	0.0	0.0	-270.0	2.0000000
80	19728.9590	23342.568	24.00000	0.0	0.0	225.0	0.4000000
77	19636.3379	23541.367	24.00000	10.0	0.0	135.0	0.4000000
80	19813.3398	23733.080	24.00000	0.0	0.0	0.0	0.4000000
77	19611.0801	23376.957	24.00000	-20.0	0.0	-265.0	0.6000000
6	19707.3594	23626.109	18.00000	0.0	0.0	-105.0	2.0000000
6	19672.9434	23459.818	18.00000	0.0	0.0	-100.0	2.0000000
122	19747.6797	23639.986	24.00000	0.0	0.0	135.0	2.0000000
130	19670.0000	23443.141	24.00000	0.0	0.0	90.0	1.2000000
120	19796.2891	23481.477	24.00000	0.0	0.0	-180.0	0.6000000
84	19482.0195	22902.930	24.00000	0.0	0.0	0.0	1.3000000
84	19674.1387	22923.670	24.00000	0.0	0.0	55.0	1.0000000
77	19521.8496	23070.162	24.00000	20.0	0.0	315.0	0.3000000
77	19558.0000	23192.000	24.00000	0.0	-15.0	225.0	0.4000000
6	19642.3281	23276.859	18.00000	0.0	0.0	-100.0	2.0000000
6	19610.5703	23094.709	18.00000	0.0	0.0	-100.0	2.0000000
6	19555.1992	22923.727	18.00000	0.0	0.0	-110.0	2.0000000
80	19640.3984	23096.820	24.00000	0.0	0.0	315.0	0.4000000
80	19746.0273	23219.828	24.00000	0.0	0.0	315.0	0.3000000
77	24637.3398	21556.889	22.00000	-10.0	0.0	-55.0	0.3500000
77	24721.3203	21424.020	20.00000	-10.0	0.0	-70.0	0.2500000
80	24637.1797	21267.619	19.00000	0.0	0.0	205.0	0.3000000
115	24649.0391	21351.520	24.66131	0.0	0.0	45.0	1.4000000
6	24665.8105	21346.730	18.00000	0.0	0.0	100.0	2.0000000
